track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6kVuF2PYLuvl9T85XjNbaO,Lay It Down Gmix - Main,1Xfmvd48oOhEWkscWyEbh9,Lloyd,43C6GVlhXG4KfZuEbxty3r,302186,2011-01-01,28,0.597,0.8,1,-5.423,0,0.312,0.0461,0.0,0.18,0.565,155.932,6kVuF2PYLuvl9T85XjNbaO,6kVuF2PYLuvl9T85XjNbaO
1RGIjMFMgJxkZHMDXVYzOJ,Bartender (feat. Akon),3aQeKQSyrW4qWr35idm0cy,T-Pain,6CrSEKCF4TYrbSIitegb3h,238800,2007-06-05,75,0.832,0.391,8,-8.504,1,0.0628,0.0564,0.0,0.224,0.436,104.961,1RGIjMFMgJxkZHMDXVYzOJ,1RGIjMFMgJxkZHMDXVYzOJ
1dIWPXMX4kRHj6Dt2DStUQ,Chosen (feat. Ty Dolla $ign),4qXC0i02bSFstECuXP2ZpL,Blxst,7AwrgenNcTAJlJF3pKL0Qr,161684,2020-12-04,76,0.571,0.767,2,-5.16,1,0.287,0.336,0.0,0.0809,0.605,93.421,1dIWPXMX4kRHj6Dt2DStUQ,1dIWPXMX4kRHj6Dt2DStUQ
4QVS8YCpK71R4FsxSMCjhP,Tie Me Down (with Elley Duhé),2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,69t8rpgBN1ov5kCU6LDMuR,218295,2018-08-03,72,0.548,0.839,6,-2.371,1,0.0644,0.135,0.0,0.102,0.314,98.932,4QVS8YCpK71R4FsxSMCjhP,4QVS8YCpK71R4FsxSMCjhP
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,26cMerAxjx9GedFt0lMDjm,Bella Poarch,5YKqfiQdPYWJ0kZ5pttY5o,122772,2021-05-14,89,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,7BoobGhD4x5K96Me0hqC8Q,7BoobGhD4x5K96Me0hqC8Q
5OKHUpNLi4GEQ0aynz9VLJ,Ever After,1mCY2mHctggfYiEqpCgcSz,Bonnie Bailey,4TrCexUUlnxL5cNen7qMt9,231559,2018-05-11,50,0.774,0.8,11,-6.504,0,0.0314,0.259,3.8e-06,0.0888,0.902,113.994,5OKHUpNLi4GEQ0aynz9VLJ,5OKHUpNLi4GEQ0aynz9VLJ
3J8EOeKLTLXORtWPpOU5bE,Calling My Phone,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,3MEKpJ7wSSp6Z661ThjrUJ,205458,2021-04-02,89,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,3J8EOeKLTLXORtWPpOU5bE,3J8EOeKLTLXORtWPpOU5bE
5caZgotE4D6elZpd5S4wlX,Clap For 'Em (feat. Flo Milli & Sada Baby),03T8GHHcCEtcfnjbP5aHLg,YungManny,7nYMFoZJEsTdliAf5MUQvJ,125579,2021-03-20,70,0.903,0.785,1,-4.709,1,0.322,0.0245,0.0,0.0652,0.823,129.835,5caZgotE4D6elZpd5S4wlX,5caZgotE4D6elZpd5S4wlX
3VqeTFIvhxu3DIe4eZVzGq,Butter,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2BDhPi2XCYujYxU6VM0QaD,164441,2021-05-21,98,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,3VqeTFIvhxu3DIe4eZVzGq,3VqeTFIvhxu3DIe4eZVzGq
4gdx3sBwgfZTZAqxKzQVTA,Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),3aQeKQSyrW4qWr35idm0cy,T-Pain,5uKz6gPL6fyzUH9JkZ0VBU,235733,2011-07-08,40,0.782,0.676,1,-6.144,1,0.324,0.00786,1.17e-06,0.141,0.878,158.162,4gdx3sBwgfZTZAqxKzQVTA,4gdx3sBwgfZTZAqxKzQVTA
1ax4ZAVsA2k1WmlAEiknCH,Love Me,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,0sTWDNDdByvpadJqLYTR2U,191573,2009-01-01,43,0.729,0.868,3,-3.319,1,0.0609,0.00939,0.0,0.283,0.632,124.957,1ax4ZAVsA2k1WmlAEiknCH,1ax4ZAVsA2k1WmlAEiknCH
6UQreXkBLml4Bv3q3NEUzq,Who's That Girl (feat. Eve),5PjekOABtfU2Kwo0AHVmci,Guy Sebastian,0CStVBruuSHJnFjZsQg4Ov,219693,2010-11-08,51,0.759,0.833,0,-5.268,1,0.0353,0.155,0.0,0.192,0.599,127.017,6UQreXkBLml4Bv3q3NEUzq,6UQreXkBLml4Bv3q3NEUzq
6uvMKqNlrSvcC4NaKnrwjZ,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",7b79bQFziJFedJb75k6hFt,Tion Wayne,3ucQ8ogD2Li2U0rwkrdwlx,278085,2021-04-22,91,0.883,0.674,11,-8.043,0,0.357,0.21,0.0,0.0678,0.73,141.02,6uvMKqNlrSvcC4NaKnrwjZ,6uvMKqNlrSvcC4NaKnrwjZ
1sVwtQw8VoPMsPDMvx9Y4S,Ayegirl,6JajQ1VHanKIftKLeZRUSy,1way Frank,1Tsutm6gzTW2VSexQw16Xx,170866,2014-09-04,58,0.783,0.38,10,-8.507,0,0.0974,0.735,1.58e-06,0.158,0.84,99.802,1sVwtQw8VoPMsPDMvx9Y4S,1sVwtQw8VoPMsPDMvx9Y4S
4FJ50kkBvVzJte01d6Gtt8,You Da One,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,3oQebIVUPY0IPiROZSIQFl,200013,2011-01-01,44,0.702,0.715,5,-5.377,0,0.0425,0.503,2.44e-05,0.126,0.863,127.05,4FJ50kkBvVzJte01d6Gtt8,4FJ50kkBvVzJte01d6Gtt8
