track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,26cMerAxjx9GedFt0lMDjm,Bella Poarch,5YKqfiQdPYWJ0kZ5pttY5o,122772,2021-05-14,89,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,7BoobGhD4x5K96Me0hqC8Q,7BoobGhD4x5K96Me0hqC8Q
1RGIjMFMgJxkZHMDXVYzOJ,Bartender (feat. Akon),3aQeKQSyrW4qWr35idm0cy,T-Pain,6CrSEKCF4TYrbSIitegb3h,238800,2007-06-05,75,0.832,0.391,8,-8.504,1,0.0628,0.0564,0.0,0.224,0.436,104.961,1RGIjMFMgJxkZHMDXVYzOJ,1RGIjMFMgJxkZHMDXVYzOJ
1xNWu0d2H5RSfFul3ZsRuk,Dream Killer,7BJYwgRr5jyyEzvXJx4YSd,Sebastian Rhodes,0s3iSI2XrD0coRPRKy9G3o,144000,2021-04-09,34,0.551,0.765,10,-6.924,1,0.171,0.093,0.0,0.39,0.743,177.075,1xNWu0d2H5RSfFul3ZsRuk,1xNWu0d2H5RSfFul3ZsRuk
3nY8AqaMNNHHLYV4380ol0,Dick (feat. Doja Cat),2WgfkM8S11vg4kxLgDY3F5,StarBoi3,5gH9EDMWWiLEplNCLb1r7l,175238,2021-04-23,86,0.647,0.608,9,-6.831,1,0.42,0.13,0.0,0.0584,0.474,125.994,3nY8AqaMNNHHLYV4380ol0,3nY8AqaMNNHHLYV4380ol0
7ahAom5NZZVEMRynCruscZ,Ever After,1mCY2mHctggfYiEqpCgcSz,Bonnie Bailey,5kgNr26xQOMLfTnAPjiH0N,302213,2005-01-01,59,0.742,0.614,11,-10.138,0,0.0427,0.231,0.00332,0.0832,0.566,127.014,7ahAom5NZZVEMRynCruscZ,7ahAom5NZZVEMRynCruscZ
5hTpBe8h35rJ67eAWHQsJx,Caroline,3Gm5F95VdRxW3mqCn8RPBJ,Aminé,3lajefIuUk4SfzqVBSJy8p,209640,2017-07-28,78,0.94,0.335,5,-10.179,0,0.505,0.17,0.0,0.262,0.707,120.04,5hTpBe8h35rJ67eAWHQsJx,5hTpBe8h35rJ67eAWHQsJx
4iSWQ5Eadn5tZvvG9XNzYN,You're Perfect,5sK8BsvyDl4TFA6KaBf8or,Charly Black,6vZbWkCUqbIbEZnPaoDBFF,196973,2017-10-20,69,0.817,0.855,7,-3.282,0,0.244,0.318,0.0,0.0517,0.783,104.909,4iSWQ5Eadn5tZvvG9XNzYN,4iSWQ5Eadn5tZvvG9XNzYN
4YFv0wWsJ0C3Q48jzl9NgC,Touch It (Gun Boosted),2OnjoU7DZQVdp2xMVmtikz,Midi Blosso,7sgJSSZL2IqikpwqVuWyWh,178450,2021-04-15,59,0.859,0.383,2,-13.29,1,0.0612,0.0202,0.154,0.154,0.282,102.019,4YFv0wWsJ0C3Q48jzl9NgC,4YFv0wWsJ0C3Q48jzl9NgC
6QgkOxBXqVRjZ1JcIDbDYY,Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),3aQeKQSyrW4qWr35idm0cy,T-Pain,184XWylq7ZF0Hn7da4Tr6W,235306,2014,70,0.786,0.689,1,-6.113,1,0.315,0.00931,1.14e-06,0.214,0.874,157.935,6QgkOxBXqVRjZ1JcIDbDYY,6QgkOxBXqVRjZ1JcIDbDYY
7H65Mixw2ziO0Zikh6Fe6I,Love Taker,1mJucMwGjnCatEdVk9eedj,Alex Alexander,5hkswTpfCDqWq7rkXjp6B6,174573,2021-05-14,50,0.58,0.851,9,-6.112,0,0.0467,0.000423,0.0262,0.293,0.766,169.905,7H65Mixw2ziO0Zikh6Fe6I,7H65Mixw2ziO0Zikh6Fe6I
6WtBVDL02RRvWlvzF4sjE9,Cutie Uyyy,1IFBgp2dkXquUYSNEY6hK7,Soulthrll,519M0SHECHX0PcHX9DSPqu,134400,2020-02-09,59,0.697,0.441,0,-7.907,1,0.0652,0.0759,2.34e-05,0.122,0.387,75.045,6WtBVDL02RRvWlvzF4sjE9,6WtBVDL02RRvWlvzF4sjE9
264XhF2zW8Uc6sxTDLid13,Intenso boom boom ( Acompanha o Grave ),1cNPXWhKfjI0fT5EMCnamR,Dj Guuga,5d2hs7qnH0LgquSV3VCF9j,120061,2019-04-12,66,0.864,0.939,6,-1.122,0,0.185,0.312,0.71,0.169,0.373,79.454,264XhF2zW8Uc6sxTDLid13,264XhF2zW8Uc6sxTDLid13
2HYvkdq6lpFXkVz9Tfqi8r,Big Gangsta,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,7udQ5hoKMjgCJT75oxPmgn,243462,2019-05-31,79,0.879,0.574,10,-5.602,0,0.391,0.519,8.76e-06,0.144,0.346,144.911,2HYvkdq6lpFXkVz9Tfqi8r,2HYvkdq6lpFXkVz9Tfqi8r
4C3Fjf9A2Yzds8AD7bb0lG,Skiri Lekong,1DUe4IZUNzPmSC07uQqyaL,Coco Lense,51GIodxzsazM3cl7XPpRsp,228066,2021-03-06,47,0.873,0.934,0,-1.348,1,0.0345,0.124,0.000646,0.576,0.963,133.018,4C3Fjf9A2Yzds8AD7bb0lG,4C3Fjf9A2Yzds8AD7bb0lG
5IZc3KIVFhjzJ0L2kiXzUl,Promise (feat. Fetty Wap),6KZDXtSj0SzGOV705nNeh3,Kid Ink,6uG9BscYmPnAbtl6Cy9u91,224240,2015-12-25,66,0.797,0.469,8,-8.112,1,0.0646,0.0599,0.0,0.0753,0.481,103.057,5IZc3KIVFhjzJ0L2kiXzUl,5IZc3KIVFhjzJ0L2kiXzUl
4v2yxWNY3WCzB0YS9QJZP4,Byahe,2U5mF0PZqGu6glnz55yY0y,John Roa,6GkdhbqD0GxO1YMan6eK2b,249184,2016-09-30,73,0.682,0.471,8,-9.486,1,0.053,0.565,0.00277,0.0919,0.56,126.618,4v2yxWNY3WCzB0YS9QJZP4,4v2yxWNY3WCzB0YS9QJZP4
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,1zHR48K6XtWYm6bhrw4J6C,198370,2020-03-27,92,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3FAJ6O0NOHQV8Mc5Ri6ENp,3FAJ6O0NOHQV8Mc5Ri6ENp
1uH1Nd8vet2uoZSDFSDwbh,Up Down (Do This All Day) (feat. B.o.B),3aQeKQSyrW4qWr35idm0cy,T-Pain,3fdI5StLDbsbcNMMyyYh0V,231893,2013-08-13,58,0.763,0.53,5,-5.554,0,0.0577,0.272,0.0,0.16,0.469,97.033,1uH1Nd8vet2uoZSDFSDwbh,1uH1Nd8vet2uoZSDFSDwbh
7yiAJA0gU9DivsxXxRJIk2,007,64WnGi9H0Xc2RCGbjYAFd5,Rot Ken,0ErssytGA5jnxR2BCDy0KP,102400,2021-03-31,55,0.813,0.66,10,-7.338,0,0.245,0.00664,0.0,0.102,0.421,132.13,7yiAJA0gU9DivsxXxRJIk2,7yiAJA0gU9DivsxXxRJIk2
