track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3BZEcbdtXQSo7OrvKRJ6mb,MONTERO (Call Me By Your Name),7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,5iZytG7j5DDp9RlsmkGI97,137875,2021-03-26,79,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,5dGWwsZ9iB2Xc3UKR0gif2,198081,2021-03-19,99,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,7vus4Q8r5DS2Dl1JClxEsA,132780,2021-01-06,96,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
4J92EUjxBf8cj3yMr3M6B5,In The Night,2tndYCXQneCV4jtoWRwVpz,Lucas Estrada,1y8WgXMkztAiCkcGJh4ENO,162616,2021-06-04,0,0.726,0.631,5,-7.083,0,0.0625,0.154,3.96e-05,0.224,0.629,123.996,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,1OnzqJTL9bwe4kvaLxRYxt,208866,2021-04-09,98,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,7dfPqXck6BB9wpThrVYBss,242096,2021-03-05,96,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
6PERP62TejQjgHu81OHxgM,good 4 u,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,3rMjL8NA5Wh2hbMNk2fSlY,178147,2021-05-14,97,0.556,0.661,6,-5.052,0,0.204,0.3,0.0,0.101,0.668,168.56,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
1wVuPmvt6AWvTL5W2GJnzZ,Talking to the Moon,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,6J84szYCnMfzEcvIcfWMFL,217866,2010-10-05,82,0.523,0.606,1,-4.754,0,0.0301,0.512,0.0,0.106,0.065,145.837,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,1PKErrAhYFdfrDymGHRQRo,Nathan Evans,1zEBi4O4AaY5M55dUcUp3z,116750,2021-01-21,88,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
43PGPuHIlVOc04jrZVh9L6,RAPSTAR,6AgTAQt8XS6jRWi4sX7w49,Polo G,0SVzFcpsByITKgURaxXdsV,165925,2021-04-09,95,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
6NWdgyVsjp2bJ11PToXCr1,Buss It,2SXhbucehn00OBVKhzxDyM,Erica Banks,0cTfIK7IoeXscnXZDsWTBk,188734,2020-05-15,39,0.918,0.434,9,-9.541,1,0.173,0.569,3.14e-06,0.123,0.75,109.997,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
1yLTcitjbEJr7a4jyDB0Lz,So Pretty,7kRrkUEPgO3TRfAi7Gsw2i,Reyanna Maria,3K1FmvfuKFjry1x6sL405k,85741,2021-01-20,71,0.799,0.543,10,-6.094,0,0.24,0.0512,0.0425,0.134,0.25,187.906,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
4RmMZO3oz3LI1SfJ89CBo7,Make Love,3Ao6gAvkCZUtj4ALBjNmXV,David Shane,7Hwx746MRLiXZpxJOGo5tl,120000,2021-06-04,0,0.78,0.758,1,-2.831,1,0.0487,0.134,0.0,0.139,0.237,120.001,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
7igeByaBM0MgGsgXtNxDJ7,positions,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3jqEvfiu2ENgmgzZq27zbi,172324,2020-10-23,21,0.736,0.802,0,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2021 Tik Tok Hits ⚡Summer 2021 
