track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4nd9cEo5R4jGNcgPHDm7Ar,Marikit,6kyw9sh7ryjy1GQdPYH3Yd,Juan Caoile,5EXcm2Fs0WdsNr6bHe9i7u,263348,2020-05-21,62,0.806,0.593,11,-7.672,1,0.0745,0.574,0.0,0.0981,0.784,143.01,4nd9cEo5R4jGNcgPHDm7Ar,4nd9cEo5R4jGNcgPHDm7Ar
4YMfE4r1JWADFw2Fn74XW2,Catriona,1SrWbIDP84JcSDr0oTBAQw,Matthaios,6epJqGK57I0W0PMN2kyTso,204512,2019-12-01,59,0.71,0.388,5,-12.106,1,0.0545,0.67,0.0,0.177,0.759,114.858,4YMfE4r1JWADFw2Fn74XW2,4YMfE4r1JWADFw2Fn74XW2
13pv5UWJttg8NNplCaaOYh,Binibini,1SrWbIDP84JcSDr0oTBAQw,Matthaios,5vBydjf2nb8fTPij4rYb2D,137717,2020-03-18,57,0.851,0.352,0,-12.376,0,0.0749,0.737,0.0,0.121,0.536,115.028,13pv5UWJttg8NNplCaaOYh,13pv5UWJttg8NNplCaaOYh
6r7sdXUiKjgEx3I8GQRpSq,Chinita Girl,7Dhd8nNMvFdye1R3Y8wE6C,Lil Vinceyy,6VkTR76jTbFqzZ7xiuvaBs,238859,2020-03-06,57,0.702,0.49,1,-6.828,1,0.213,0.0618,0.0,0.076,0.59,103.021,6r7sdXUiKjgEx3I8GQRpSq,6r7sdXUiKjgEx3I8GQRpSq
4G7uzhxgKFBCJApBpuuBgU,Kabet,3ID2V4b0oGSEbwPENAsdbG,Gagong Rapper,0bFldkQiVA9IiOch2GHQGq,318040,2020-09-07,2,0.721,0.742,0,-4.967,1,0.0377,0.67,1.3e-06,0.121,0.308,79.992,4G7uzhxgKFBCJApBpuuBgU,4G7uzhxgKFBCJApBpuuBgU
54b8IPvheXDpro2VR2rWAS,Ivana,2EGJbNf0Hva2C2N6hvhMXD,Soulstice,10stEx5J17TekHdjeh9dOJ,246550,2020-01-06,56,0.87,0.483,8,-7.441,1,0.297,0.281,0.0,0.0526,0.611,100.012,54b8IPvheXDpro2VR2rWAS,54b8IPvheXDpro2VR2rWAS
6s98WLEW9A7j9vMXCXeRx7,Biglang Liko,6eGQ0qPUlGBjmRgyQ84g3f,Ron Henley,5rNcs1ONhpanMWE2sAWMLa,253000,2012-01-01,24,0.882,0.736,11,-4.547,0,0.0418,0.0681,0.000746,0.415,0.845,119.967,6s98WLEW9A7j9vMXCXeRx7,6s98WLEW9A7j9vMXCXeRx7
0BkKdJSpKqzYLEneerSHq3,Mau,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,3azHsuEOzhMum29QnZUDqK,267013,2017-12-22,52,0.825,0.76,4,-5.286,0,0.0352,0.154,0.000346,0.079,0.537,125.069,0BkKdJSpKqzYLEneerSHq3,0BkKdJSpKqzYLEneerSHq3
1DtErFZ8cHNGUYg7IBjnqG,Dyosa,3Lm6KZ2WWaRdUNneczEhp5,Yumi Lacsamana,0QADbjA1wCp0rJ1z5tPYqC,217973,2014-03-26,44,0.698,0.877,8,-2.754,1,0.0307,0.0183,0.0357,0.129,0.639,127.976,1DtErFZ8cHNGUYg7IBjnqG,1DtErFZ8cHNGUYg7IBjnqG
0f4UsNWSkzFp0Q1UfmghXs,Bawal Lumabas - The Classroom Song,5rmy4yOHBOptMctO6t5Drl,Kim Chiu,6CdnPIywejDiAmQs0qYGiq,178812,2020-05-25,31,0.871,0.342,0,-8.734,1,0.0804,0.297,6.47e-05,0.149,0.527,100.007,0f4UsNWSkzFp0Q1UfmghXs,0f4UsNWSkzFp0Q1UfmghXs
